task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
954 -- 1 -- 280 -- 0 -- 670 -- 27.086 -- 0 -- 2
957 -- 1 -- 248 -- 0 -- 670 -- 17.387 -- 0 -- 2
959 -- 1 -- 280 -- 0 -- 670 -- 16.725 -- 0 -- 2
960 -- 1 -- 245 -- 0 -- 670 -- 16.879 -- 0 -- 2
966 -- 1 -- 270 -- 0 -- 670 -- 23.086 -- 0 -- 2
969 -- 1 -- 288 -- 0 -- 670 -- 21.449 -- 0 -- 2
974 -- 1 -- 280 -- 0 -- 670 -- 21.124 -- 0 -- 2
982 -- 1 -- 262 -- 0 -- 670 -- 18.803 -- 0 -- 2
987 -- 1 -- 256 -- 0 -- 670 -- 21.097 -- 0 -- 2
993 -- 1 -- 282 -- 0 -- 670 -- 20.203 -- 0 -- 2
994 -- 1 -- 276 -- 0 -- 670 -- 21.843 -- 0 -- 2
997 -- 1 -- 280 -- 0 -- 670 -- 20.44 -- 0 -- 2
999 -- 1 -- 255 -- 0 -- 670 -- 21.377 -- 0 -- 2
1003 -- 1 -- 280 -- 0 -- 670 -- 19.066 -- 0 -- 2
1006 -- 1 -- 262 -- 0 -- 670 -- 21.158 -- 0 -- 2
1008 -- 1 -- 273 -- 0 -- 670 -- 18.845 -- 0 -- 2
1018 -- 1 -- 245 -- 0 -- 670 -- 17.985 -- 0 -- 2
1019 -- 1 -- 247 -- 0 -- 670 -- 23.76 -- 0 -- 2
1021 -- 1 -- 279 -- 0 -- 670 -- 13.393 -- 0 -- 2
1029 -- 1 -- 239 -- 0 -- 670 -- 23.657 -- 0 -- 2
1031 -- 2 -- 247 -- 0 -- 670 -- 12.875 -- 0 -- 2
1040 -- 1 -- 266 -- 0 -- 670 -- 21.119 -- 0 -- 2
1047 -- 1 -- 261 -- 0 -- 714 -- 8.315 -- 0 -- 2
1053 -- 1 -- 286 -- 0 -- 715 -- 7.822 -- 0 -- 2
1056 -- 1 -- 255 -- 0 -- 670 -- 17.216 -- 0 -- 2
1057 -- 1 -- 291 -- 0 -- 714 -- 5.213 -- 0 -- 2
1058 -- 1 -- 273 -- 0 -- 670 -- 18.917 -- 0 -- 2
1060 -- 1 -- 268 -- 0 -- 670 -- 21.454 -- 0 -- 2
1068 -- 1 -- 285 -- 0 -- 715 -- 8.387 -- 0 -- 2
1070 -- 1 -- 289 -- 0 -- 715 -- 8.473 -- 0 -- 2
1072 -- 1 -- 285 -- 0 -- 714 -- 9.566 -- 0 -- 2
1073 -- 1 -- 279 -- 0 -- 670 -- 17.704 -- 0 -- 2
1078 -- 1 -- 250 -- 0 -- 670 -- 21.676 -- 0 -- 2
1079 -- 1 -- 170 -- 0 -- 714 -- 9.638 -- 0 -- 2
1086 -- 1 -- 287 -- 0 -- 714 -- 6.022 -- 0 -- 2
1092 -- 1 -- 286 -- 0 -- 715 -- 8.891 -- 0 -- 2
1097 -- 1 -- 284 -- 0 -- 715 -- 10.469 -- 0 -- 2
1098 -- 1 -- 278 -- 0 -- 670 -- 18.838 -- 0 -- 2
1100 -- 1 -- 253 -- 0 -- 670 -- 17.862 -- 0 -- 2
1108 -- 1 -- 287 -- 0 -- 714 -- 8.76 -- 0 -- 2
1109 -- 1 -- 261 -- 0 -- 670 -- 16.414 -- 0 -- 2
1112 -- 1 -- 286 -- 0 -- 715 -- 7.567 -- 0 -- 2
1117 -- 1 -- 268 -- 0 -- 670 -- 18.084 -- 0 -- 2
1120 -- 1 -- 245 -- 0 -- 670 -- 17.104 -- 0 -- 2
1125 -- 1 -- 286 -- 0 -- 714 -- 8.103 -- 0 -- 2
1131 -- 1 -- 256 -- 0 -- 670 -- 21.655 -- 0 -- 2
1136 -- 1 -- 283 -- 0 -- 714 -- 8.299 -- 0 -- 2
1137 -- 1 -- 255 -- 0 -- 670 -- 17.145 -- 0 -- 2
1140 -- 1 -- 252 -- 0 -- 670 -- 23.423 -- 0 -- 2
